id,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,num_user_for_reviews,language,country,content_rating,title_year,actor_2_facebook_likes,movie_facebook_likes,title_embedding,average_degree_centrality,imdb_score_binned
619,Tony Scott,50,116,12000,552,Kurt Fuller,22000,18573791,Action|Drama|Sport|Thriller,Robert De Niro,The Fan ,38533,24618,Ellen Barkin,3,baseball|fan|obsession|salesman|san francisco giants,89,English,USA,R,1996,617,0,"[-0.00494367  0.00327638  0.00244457  0.00362083  0.00093624 -0.00598231
  0.00194201  0.00114122  0.00246624 -0.00274597 -0.00489695  0.00059139
  0.00103606  0.00303407 -0.00329981 -0.00235991  0.00184672  0.00158978
 -0.00289664 -0.00368223 -0.00201962 -0.00260539 -0.0003219   0.00601829
 -0.00828544 -0.00526139 -0.00305435  0.00044917 -0.00088758 -0.00300473
  0.00087944 -0.00318994  0.00612607 -0.01063968 -0.00289031  0.00954207
  0.00230379  0.00227132  0.00454931 -0.00104919  0.00794947 -0.00610552
 -0.00206027 -0.00398589 -0.00230345 -0.0041579  -0.00192338  0.00603531
  0.0014242   0.00558398 -0.00439507 -0.00682791  0.0084986  -0.00501135
 -0.00245114 -0.0040222   0.00730757 -0.00802515  0.00147578  0.00161065
  0.00168774 -0.00112197 -0.00246691  0.00034297 -0.00165087  0.00625409
  0.00609972 -0.00191017  0.00140805  0.00522264 -0.00120805 -0.00033567
 -0.0039552  -0.0041069  -0.00061355  0.00127669 -0.00191205 -0.00178856
 -0.00417992  0.0014988   0.0035262  -0.0028499  -0.00298668  0.00093335
 -0.00191436 -0.00771077  0.01074364  0.00396118  0.00288031 -0.00082244
  0.00482586  0.00613264  0.00061379  0.00255092 -0.00694029  0.00287534
  0.00368696  0.00080665 -0.00465496 -0.0053674 ]",0.004577518,2
620,Richard Loncraine,56,104,12,1000,Jim Broadbent,21000,2600000,Drama|War,Robert Downey Jr.,Richard III ,11612,23962,Kristin Scott Thomas,3,1930s|abuse of power|england|king|murder,88,English,UK,R,1995,1000,0,"[ 7.6860021e-04  1.7176925e-03  9.0831734e-04 -1.6238893e-04
  3.3381477e-04 -5.7596748e-04  1.0684200e-03  4.8238423e-04
  8.1703294e-04  2.6373757e-04 -2.2106278e-03 -2.7182465e-03
 -2.4806436e-03  3.9125828e-04  3.9480222e-04 -4.2182296e-03
  1.9124110e-03 -1.2266779e-03 -2.4301726e-03  4.3854379e-04
  2.9233849e-04 -1.0936251e-03 -1.2830108e-03  1.5826317e-03
 -2.0925773e-03  1.2984079e-03 -1.2566195e-03 -4.9419131e-04
 -1.0669334e-03 -8.1390404e-04 -1.5438228e-03  2.1566611e-04
  7.0008723e-04 -1.7066296e-03  1.6516446e-04  2.5058934e-03
  8.7474019e-04 -3.9798213e-04 -3.9844698e-04 -1.1838328e-03
  7.4078160e-04 -3.5384949e-03 -2.4286835e-03  9.5950288e-04
  1.3260782e-04  4.2229018e-05 -4.4783956e-04  1.2682851e-03
  1.1126396e-04 -8.6143741e-04 -6.1892113e-04 -9.0963859e-04
  1.3002771e-03 -8.7389350e-04 -1.5030737e-03  4.5481298e-05
  1.5577264e-03 -7.9460529e-04 -3.6483377e-04 -4.8337108e-04
  2.4417145e-03  9.1574923e-04 -7.5666636e-04  1.8366834e-03
  4.0056650e-04 -1.0153241e-04  1.6265596e-03 -1.2004209e-03
 -8.8059355e-04  8.3504000e-04 -1.2330609e-05 -2.8000894e-04
 -1.7071028e-03 -1.1662227e-03 -3.1230554e-03 -1.7333298e-03
  7.9422665e-04 -4.7142594e-04 -9.2622731e-04  4.2168220e-04
  6.3087267e-05 -9.8362070e-05 -7.7178015e-04 -8.1592135e-04
 -1.2066128e-04 -3.2375529e-03  8.7874813e-04  1.5074955e-03
  3.0769652e-04 -9.1802544e-04  2.0653557e-03  6.3245127e-04
  3.4450819e-03 -1.2786398e-03 -2.8781176e-03  1.4246234e-03
  1.9825802e-03  3.6291225e-05 -3.7529998e-04 -4.0707099e-03]",0.003601981,3
621,James Mangold,136,91,446,660,Rebecca De Mornay,1000,51475962,Mystery|Thriller,Clea DuVall,Identity ,177828,3969,Jake Busey,0,dissociative identity disorder|motel room key|murder|storm|stranded,714,English,USA,R,2003,872,11000,"[-1.0985781e-03  1.7354393e-04 -1.9389101e-03 -2.0839348e-03
  1.7068037e-03  4.3925375e-04  9.3989185e-04  1.7112130e-03
 -8.5108285e-04  1.6335710e-03 -2.0046870e-04 -9.4873650e-04
 -4.6421142e-04  5.3973804e-04  7.8564987e-04  1.6080958e-04
  8.7913149e-04  4.2987734e-04 -1.7916925e-03 -9.8004192e-04
  9.3969598e-04  3.4517396e-04  3.2134444e-04 -1.1700476e-03
 -1.0408415e-03 -7.4236438e-04 -1.1665376e-03 -1.0306882e-03
  1.8793106e-04  4.2527743e-05  7.7054225e-04 -1.1769568e-03
  2.8432349e-03 -2.0145883e-03  4.6369067e-04  2.9339639e-03
 -1.4434489e-03 -9.8733790e-04  1.4939003e-03  1.2868815e-03
  2.6674462e-03  1.3691748e-03 -7.3357945e-04 -1.8042894e-03
  1.0928330e-03  9.4826840e-04  9.0634427e-04  3.1996381e-03
  1.6402649e-03  1.2977229e-03 -1.6456351e-03 -6.7502749e-04
  2.5400186e-03 -2.3512840e-03 -7.6089747e-04 -1.0078526e-03
 -1.1180820e-03 -2.9137122e-04 -8.8140456e-05  1.5789202e-03
  7.1454397e-04 -4.9388222e-04  7.0190331e-04  1.5239428e-03
 -9.2612207e-04 -2.2939164e-03  2.1489006e-03  1.3527657e-04
  1.9600347e-03  2.3467821e-04 -8.4571919e-04  8.8460319e-04
 -6.0968369e-04 -2.1146961e-04 -3.1280049e-04  2.4904252e-04
 -4.7182399e-04  9.6563483e-05 -8.8743970e-04  1.9384311e-03
  9.9956780e-04 -1.0524279e-03 -4.2815733e-04 -8.1105455e-04
 -6.9456029e-04 -2.2492378e-03  1.7154225e-03 -1.1564268e-03
  1.2778848e-03 -5.9447729e-04 -4.0454100e-04  9.3959935e-04
 -7.5635320e-04 -1.2692752e-03 -7.2058354e-04  9.1787759e-04
 -1.9602053e-04  2.0345110e-03  1.3923920e-03 -1.1262217e-03]",0.001800991,3
622,Florian Henckel von Donnersmarck,321,103,207,3000,Angelina Jolie Pitt,40000,67631157,Action|Romance|Thriller,Johnny Depp,The Tourist ,176606,55175,Rufus Sewell,0,police surveillance|surveillance van|tailing a suspect|tourist|venice italy,374,English,USA,PG-13,2010,11000,25000,"[-3.5451632e-03  2.8376277e-03  6.7454734e-04  2.2734175e-03
  1.8483759e-03 -2.9399882e-03  1.0569615e-03  1.6372618e-03
  3.3529350e-03 -1.8571557e-03 -2.7967023e-03  1.1468995e-03
 -1.0055701e-03  1.8869713e-03 -2.2462043e-03 -2.9644929e-03
 -9.7116164e-05  7.8934955e-04 -2.1116745e-03 -4.3263128e-03
 -6.6890282e-04 -3.4308704e-03 -1.5780577e-03  4.7072205e-03
 -6.9509801e-03 -4.5572403e-03 -2.6012100e-03  2.6730527e-04
 -6.3974265e-05 -1.5066194e-03  1.3592595e-03 -3.4778670e-03
  5.6890780e-03 -6.7338794e-03 -3.0615809e-03  8.5183522e-03
  2.3793241e-03  1.5496844e-03  2.8578390e-03 -1.7279575e-03
  8.2997084e-03 -5.7025598e-03 -1.8506581e-03 -3.7155410e-03
 -2.5321478e-03 -3.1051813e-03 -2.1507852e-03  4.8511489e-03
  5.1858136e-04  5.2420152e-03 -3.2927140e-03 -5.7137618e-03
  8.8339346e-03 -5.2235252e-03 -7.5861951e-04 -3.9870595e-03
  6.7980643e-03 -7.2830487e-03  8.4251096e-04  1.1835659e-03
  1.9994371e-03  4.7404264e-04 -2.6590065e-03  1.9272805e-04
 -1.6629470e-03  5.5554123e-03  3.7909904e-03 -3.1735827e-03
  3.1563160e-03  3.3870046e-03 -1.9979314e-03 -1.8632840e-03
 -3.4915179e-03 -4.6373783e-03  1.0534015e-05  1.1000030e-03
 -4.3317999e-04 -1.0395420e-03 -4.0917210e-03  4.6272459e-04
  1.1628532e-03 -3.5397934e-03 -2.9078280e-03  1.0491509e-03
 -3.1649207e-03 -8.0488147e-03  9.7343512e-03  3.3161596e-03
 -4.3370653e-04 -1.3796248e-03  5.7382006e-03  5.8606695e-03
  6.9503224e-04  2.4814215e-03 -8.1274668e-03  2.8172794e-03
  5.2023977e-03 -1.3974204e-04 -3.1905805e-03 -6.1224503e-03]",0.00412727,2
623,George Tillman Jr.,117,128,88,954,Melissa Benoist,989,37432299,Drama|Romance,Tiago Riani,The Longest Ride ,50041,3386,Hayley Lovitt,0,1940s|art collector|bull riding|north carolina|student,116,English,USA,PG-13,2015,970,23000,"[-2.4209288e-03  3.0389701e-03  2.7776370e-04  2.0547204e-03
  1.5643695e-03 -2.4174596e-03 -3.8645571e-04  1.9745291e-03
  3.7401628e-03 -1.5052226e-03 -1.6743905e-03  1.7994101e-03
 -8.9121395e-04  1.0830455e-03 -2.5392976e-03 -1.6639964e-03
 -1.1133733e-03  8.9313852e-04 -1.4825199e-03 -2.9340072e-03
 -2.1073846e-03 -2.8603673e-03 -2.0724460e-03  3.6679227e-03
 -5.4578613e-03 -3.8910995e-03 -1.7847196e-03 -9.0046338e-04
  1.7859688e-04 -1.6295534e-03  6.7850592e-04 -2.9677448e-03
  3.7032452e-03 -6.8490268e-03 -3.2154846e-03  6.3078166e-03
  1.6505612e-03 -6.2309619e-04  3.3325150e-03 -7.4610749e-04
  5.4317247e-03 -4.4389106e-03 -6.9328630e-04 -3.2548306e-03
 -2.8453646e-03 -2.8859398e-03 -1.8298024e-03  2.8917363e-03
  5.8415328e-04  4.5037051e-03 -2.7548622e-03 -3.2631538e-03
  5.8322810e-03 -3.3906477e-03 -1.3965014e-03 -2.1641499e-03
  5.5868649e-03 -6.5402319e-03  7.3520298e-04  7.3111709e-04
  2.4153607e-03 -4.6933131e-04 -1.8736104e-03  5.3536492e-05
 -1.5278201e-03  5.0482680e-03  3.5858296e-03 -1.7767552e-03
  2.4629852e-03  2.9502790e-03 -2.1742193e-03 -7.6516677e-04
 -2.7590226e-03 -4.2857034e-03  1.3185417e-03 -2.7154805e-05
  5.0901243e-05 -2.1629783e-03 -3.0474402e-03  2.8234828e-05
  1.7634804e-03 -1.6177619e-03 -2.2234928e-03  2.1520602e-04
 -2.0822186e-03 -5.8035315e-03  6.9274991e-03  1.0249616e-03
  1.0314781e-03 -1.2500436e-03  4.3507102e-03  3.0471131e-03
  1.3307530e-03  1.1786872e-03 -6.4856559e-03  2.9376321e-04
  3.8198836e-03  7.3376065e-04 -3.6060922e-03 -4.5796274e-03]",0.000825454,3
624,John Lasseter,191,82,487,967,John Ratzenberger,15000,245823397,Adventure|Animation|Comedy|Family|Fantasy,Tom Hanks,Toy Story 2 ,385871,21275,Wayne Knight,2,collector|dog|friend|rescue|toy,515,English,USA,G,1999,1000,0,"[-3.9190082e-03  1.6111456e-03  6.6666777e-04 -1.5796768e-03
 -2.1992943e-03 -6.2555121e-04 -1.0447265e-03  2.6071202e-03
 -1.1969340e-03  1.8174124e-04 -3.9479039e-03  9.8012807e-04
  3.0880547e-04 -1.0799690e-03  5.0528772e-04 -3.6246150e-03
 -9.4313611e-04 -4.4281562e-04 -7.8546075e-04 -2.1217167e-03
 -3.9994451e-03 -7.4952218e-04  3.4267243e-04  1.9756956e-03
 -4.8903702e-03 -7.1722904e-04 -1.5271893e-04 -9.4706874e-04
  5.7965046e-04 -3.9867905e-04 -1.4898657e-04 -1.6279779e-03
  3.0907567e-03 -5.4603349e-03 -1.4840899e-03  4.2833476e-03
  1.8419781e-03 -2.5446076e-04  5.3606997e-03 -2.8020982e-04
  3.8023789e-03 -1.6839248e-03 -1.3122711e-03 -1.0352819e-03
  9.4861287e-04 -1.3394213e-03 -7.4956188e-04  3.4276254e-03
 -1.1683317e-03  3.9049145e-03 -1.1387719e-03 -2.5105060e-03
  6.9421628e-03 -2.8442242e-04 -3.3408336e-03 -1.5306609e-03
  6.3699349e-03 -4.0125470e-03 -3.4527173e-03  1.3969085e-03
  2.6627742e-03  2.0945030e-03 -5.4423395e-04 -8.9758151e-04
  1.1204854e-03  4.1977584e-04  3.3202898e-03 -1.4547538e-04
  6.5555802e-04 -8.5246330e-04 -1.5070684e-03 -8.4979035e-04
 -5.0033024e-04 -1.4245393e-03 -1.6548382e-03  4.7919198e-04
 -3.3980936e-03  1.1407292e-03 -3.3695826e-03 -1.0938179e-03
  2.5217643e-03 -2.8778648e-03  1.5327032e-04 -3.3667814e-03
 -3.4625910e-03 -4.9162568e-03 -6.0617126e-04  1.5921486e-03
 -1.3107983e-03 -2.1698547e-03  7.3019852e-04  5.4261573e-03
  1.7165045e-03  1.8691270e-03 -1.7722076e-03  2.3784351e-03
  1.6266821e-03  8.3083141e-04 -1.6896985e-05 -2.5075718e-03]",0.002476362,3
625,Thomas Vinterberg,349,115,346,26,Alexandra Rapaport,74,610968,Drama,Thomas Bo Larsen,The Hunt ,170155,216,Hana Shuan,1,deer|gun|gunshot|hunt|kindergarten teacher,249,Danish,Denmark,R,2012,69,60000,"[-4.8892121e-03  9.7793620e-04  6.0718739e-05  2.8518289e-03
  1.5786224e-03 -3.1506089e-03  6.6442863e-04  2.2367381e-03
  3.9545130e-03 -2.2549448e-03 -3.0757007e-03  5.0597324e-04
 -1.5850642e-03  2.4843460e-03 -3.3630489e-03 -2.0754654e-03
  4.4942979e-04  2.2834621e-03 -2.1300372e-03 -5.4108240e-03
 -6.7356328e-04 -2.4097592e-03  2.2270886e-04  4.2337249e-03
 -5.6313658e-03 -2.4574487e-03 -3.0759121e-03 -5.2272773e-04
 -8.7931502e-04 -2.5652135e-03 -6.3846179e-04 -5.1959935e-03
  5.3152260e-03 -6.9277827e-03 -2.9753190e-03  8.2856193e-03
  1.0241899e-03  1.0135826e-03  3.7755417e-03 -2.3958928e-04
  7.7931713e-03 -5.8976463e-03 -5.7911751e-04 -4.6905344e-03
 -1.3252704e-03 -4.6988768e-03 -1.8713130e-03  4.4705169e-03
  1.8271432e-03  4.8123384e-03 -4.9310932e-03 -5.2641300e-03
  9.4699478e-03 -4.4386722e-03 -8.2016399e-05 -4.4263066e-03
  8.9676958e-03 -6.5767057e-03  1.4047184e-03  2.1897398e-03
  1.9650597e-03 -1.0039558e-03 -2.0518894e-03  1.0720966e-03
  5.2579585e-04  4.5361607e-03  3.1245919e-03 -4.3593235e-03
  2.7227839e-03  4.1447934e-03 -3.7108299e-03 -4.8677222e-04
 -3.3119363e-03 -3.7177154e-03 -7.1623095e-04 -9.7842421e-05
 -6.0795742e-04 -3.3043971e-04 -3.2205004e-03  3.0416206e-05
  1.9094443e-03 -3.2688277e-03 -3.1310229e-03  8.7117899e-04
 -1.8170186e-03 -7.3614698e-03  9.2511950e-03  1.6584792e-03
 -3.5880468e-04 -2.9989434e-03  5.5242064e-03  4.7696512e-03
  5.4074277e-04  1.8258089e-03 -7.8826454e-03  3.4452574e-03
  7.1412828e-03  2.0272792e-03 -2.1022763e-03 -5.6058518e-03]",0.00060033,4
626,Joe Wright,210,117,456,569,Stephen Root,21000,31670931,Biography|Drama|Music,Robert Downey Jr.,The Soloist ,44099,23745,Rachael Harris,0,columnist|journalist|los angeles times|musician|wearing a traffic cone as a hat,143,English,UK,PG-13,2009,939,0,"[-3.9321454e-03  2.7003640e-03  1.0073689e-03  2.3619877e-03
  1.4376626e-03 -4.2637358e-03  1.0334645e-04  2.2026079e-03
  2.6523136e-03 -2.5081334e-03 -3.7832714e-03  7.0320739e-04
  8.6889014e-04  1.2875432e-03 -3.0126336e-03 -2.1034312e-03
  1.9935099e-04  7.4787025e-04 -1.2270554e-03 -4.4179023e-03
 -2.8764503e-04 -4.6981936e-03 -7.7671953e-04  3.6332665e-03
 -6.0372911e-03 -3.9313152e-03 -1.6476094e-03 -2.4040545e-04
 -2.8492679e-04 -2.2539163e-03  8.1172062e-04 -3.0936198e-03
  5.2494192e-03 -6.3453713e-03 -3.9614835e-03  8.2707088e-03
  2.8078994e-03  8.5621548e-05  3.3088585e-03 -1.6552514e-03
  6.2921350e-03 -5.1149158e-03 -1.5499308e-03 -2.7236158e-03
 -2.9154483e-03 -2.9550740e-03 -1.5891501e-03  4.2671282e-03
  1.1711520e-03  5.0668749e-03 -3.9197840e-03 -5.2715871e-03
  8.2109831e-03 -4.4540060e-03 -1.4695153e-03 -4.3972242e-03
  6.6487039e-03 -7.5308690e-03  8.9702383e-04  2.4300360e-03
  2.1005704e-03  1.2641118e-04 -1.9883760e-03 -4.9096294e-04
 -1.8256314e-03  5.6886966e-03  2.2674124e-03 -2.4575570e-03
  2.9694838e-03  4.5719361e-03 -1.6135665e-03 -9.1907120e-04
 -3.3276214e-03 -4.6380074e-03  6.8259658e-05  3.7745040e-04
 -3.7209218e-04 -2.4830699e-03 -3.3517256e-03  7.7392737e-04
  2.2824861e-03 -2.9354470e-03 -2.8161469e-03  8.9454988e-04
 -4.2180191e-03 -7.1794200e-03  9.1902958e-03  3.3435412e-03
 -1.7484484e-04 -1.9596417e-03  4.9731368e-03  5.1919012e-03
  2.0257030e-03  2.0873691e-03 -8.8157887e-03  3.0570906e-03
  5.3317733e-03  1.2653528e-03 -2.4665832e-03 -7.0166527e-03]",0.003301816,2
627,Gary Fleder,83,115,39,685,Tony Goldwyn,11000,60491560,Crime|Drama|Mystery|Thriller,Morgan Freeman,Kiss the Girls ,50653,14322,Tatyana Ali,1,detective|kidnapping|punching a heavy bag|serial killer|tied to a tree,143,English,USA,R,1997,956,0,"[-3.1102237e-03  2.9570004e-03 -2.9038007e-03  4.3815584e-04
  1.3191188e-03 -1.5561384e-03 -1.0738295e-03  1.6630189e-03
 -3.7213974e-04  7.3878287e-04  1.2866150e-04  1.6634041e-05
  9.6684211e-04  1.3525711e-03 -2.1076181e-03 -2.4964146e-03
 -5.5007008e-04  1.4006131e-03 -1.1271957e-03 -3.3313371e-03
 -2.8625280e-03 -2.1202487e-03 -1.9621202e-03  1.6496055e-03
 -4.0586535e-03 -2.7733638e-03  6.4506620e-04 -2.1268425e-03
 -3.5079793e-04 -2.3649137e-03  1.3501177e-03 -2.0591251e-03
  3.0350166e-03 -6.0079731e-03 -1.4455514e-03  4.4982103e-03
 -1.5804091e-03  1.4379504e-05  3.3199775e-03 -1.7372441e-03
  6.7937602e-03 -2.2309909e-03 -1.7297521e-03 -3.3216120e-03
  2.0434393e-04 -2.4868294e-03 -5.2625086e-04  3.3727025e-03
  1.3036364e-03  3.5409508e-03 -1.9739603e-03 -4.1571287e-03
  5.4180478e-03 -4.5660678e-03 -8.7937596e-04 -3.1988692e-04
  2.3123305e-03 -4.4528847e-03  1.0385315e-03  8.4225414e-04
  8.6237799e-04 -9.1603299e-04  3.4352051e-04  3.1684083e-04
  1.3671753e-04  2.0238108e-03  2.1697588e-03 -1.9789347e-03
  9.2314155e-04  1.3066350e-03 -1.9181730e-03 -6.5560290e-04
 -1.0107082e-03 -1.5404401e-03  1.9558729e-03  1.7938475e-03
 -4.3687268e-04 -2.1171836e-04 -2.7689019e-03  9.0119272e-04
  2.5994561e-03 -1.9095865e-03 -2.8071823e-03 -5.5909313e-05
 -2.9050352e-04 -7.3746569e-03  5.8418042e-03  2.5104836e-04
  1.7832817e-03 -1.5783381e-03  3.8618229e-03  2.5893797e-03
  1.7697603e-03  1.3302886e-03 -4.5050043e-03 -1.7465868e-04
  2.9640703e-03 -6.2409170e-05 -3.5488522e-03 -4.3313401e-03]",0.004277353,2
628,Luc Besson,101,94,0,14,Adam LeFevre,563,15131330,Adventure|Animation|Family|Fantasy,Mia Farrow,Arthur and the Invisibles ,25843,683,Penny Balfour,0,boy|debt|garden|princess|treasure,64,English,France,PG,2006,80,941,"[-4.53595258e-03  2.51886901e-03 -1.20491127e-03  1.10911136e-03
  1.54844741e-03 -2.09227111e-03 -6.45993219e-04  2.40578223e-03
  9.84334387e-04 -1.21549718e-04  3.72978102e-04 -3.79610923e-04
  3.64361738e-04  1.54039287e-03 -2.03422690e-03 -1.10113155e-03
 -4.13515663e-04  2.71484925e-04 -1.23518822e-03 -1.98321743e-03
 -9.13167605e-06 -4.17286670e-03 -7.30547123e-04  9.38681653e-04
 -4.61888034e-03 -3.89802922e-03 -1.27056404e-03 -1.87025801e-03
 -1.13871600e-03 -2.53505819e-03  3.36553552e-04 -1.75979652e-03
  3.62236705e-03 -5.97462151e-03 -1.49043149e-03  7.28423009e-03
 -1.07980304e-04  6.34059252e-04  1.78470940e-03 -2.42768740e-03
  7.34206382e-03 -2.46792007e-03 -1.42607989e-03 -2.86472240e-03
  3.64845502e-04 -3.43695143e-03 -1.02295040e-03  1.43284281e-03
  8.29016033e-04  3.50555126e-03 -1.26181659e-03 -2.35866290e-03
  5.95968962e-03 -5.13864495e-03 -2.58422759e-03 -2.98022735e-03
  4.45958413e-03 -5.34122344e-03  7.43496581e-04  4.25698090e-04
  1.32252241e-03  1.92684657e-03 -1.38674863e-04  1.45204354e-03
 -6.05632551e-04  2.55709025e-03  2.59393430e-03 -1.37714890e-03
  6.85595151e-04  1.64209050e-03 -4.51580738e-04 -2.12123268e-07
 -1.90998765e-03 -1.34263700e-03  8.72318342e-04  1.12555886e-03
 -6.87715423e-04 -6.62686653e-04 -4.17647883e-03  4.97619214e-04
  3.13760899e-03 -3.29135242e-03 -2.94761674e-04 -1.29082508e-03
 -3.31875635e-03 -7.48361880e-03  6.42291456e-03  1.67263416e-03
  8.89182731e-04 -1.26957218e-03  3.88491596e-03  3.05952737e-03
  2.90567405e-03  5.42864902e-04 -4.02104435e-03  1.85021095e-03
  3.73506267e-03 -5.40180597e-04 -2.37199967e-03 -5.01037901e-03]",0.000900495,2
629,Stephen Herek,42,143,65,320,Olympia Dukakis,975,82528097,Drama|Music,Alicia Witt,Mr. Holland's Opus ,30230,2223,Jean Louisa Kelly,1,1990s|high school|high school teacher|teacher inspires students|teaching,154,English,USA,PG,1995,345,0,"[-7.2437385e-04 -1.2454212e-03 -1.1172132e-03  2.6323023e-04
  6.1970565e-04 -1.4747359e-03 -3.0306898e-04  1.3474301e-03
 -1.8704699e-04  1.2590574e-03 -9.7531261e-04 -1.2608002e-03
 -9.7455713e-04 -8.8304031e-04 -8.5208258e-06 -4.1577095e-04
 -7.0324651e-04  1.0464060e-03  3.7161729e-04 -5.0498941e-04
  1.0989910e-03 -8.8538585e-04  9.6657220e-04 -4.5932169e-04
  2.3822259e-04  1.4048675e-03  1.0012585e-03 -1.3285032e-03
 -1.0094128e-04 -6.3543330e-04 -6.4328202e-04 -1.1900463e-04
  2.4571952e-03 -9.4498415e-04  1.6725190e-04  1.5827734e-04
  5.6747423e-04 -7.3553412e-04  6.1644596e-04 -4.4692578e-04
  4.1980727e-04  5.2366977e-05 -2.7246337e-04  1.0194717e-03
 -4.9871794e-04  1.8834369e-04 -5.8760174e-04  5.1875808e-04
  6.6705304e-04  1.3384065e-03  1.0138495e-03 -9.5463934e-04
  1.5729322e-03  9.6753043e-05 -5.4363854e-04 -9.8875677e-04
  5.6967721e-04 -7.6898915e-04  1.4035967e-03 -6.5038080e-04
  4.5198234e-04 -6.4346037e-04 -1.7382193e-04 -6.0261157e-04
  4.1043412e-04  6.9530186e-04  7.5193244e-04 -1.1631673e-03
 -4.5582419e-06  7.4283459e-04 -1.6523241e-04  1.0683687e-03
 -2.3697417e-03 -1.8492638e-03 -4.6733706e-04 -3.2383454e-04
  1.7582554e-04 -1.3198979e-03 -1.4206760e-04 -2.9233019e-04
  5.9333642e-04  1.2838921e-03  5.3133088e-04 -2.3505362e-03
 -2.2157107e-03 -1.3705012e-03  3.3314566e-03  1.8811934e-03
 -2.5256822e-04 -1.1122002e-03  4.8951985e-04  6.5200828e-04
  5.0015067e-04  2.6347456e-04  1.2500338e-04  9.5006655e-04
  1.3038683e-03  6.0748524e-04 -3.2502183e-04 -7.3722494e-04]",0.001800991,3
630,James Wan,166,111,0,725,Kelly Preston,856,9525276,Action|Crime|Thriller,Aisha Tyler,Death Sentence ,60156,3309,Edi Gathegi,0,blood|death|gang|murder|revenge,299,English,USA,R,2007,742,0,"[-1.70592032e-03  1.89285842e-03  7.71788240e-04  3.28727299e-04
  2.47452524e-03 -1.87919964e-03  1.62546581e-04  2.52848782e-04
 -1.12416968e-03 -1.60385610e-03  2.63337919e-04  6.11871714e-04
  1.80444028e-03 -1.59259583e-03 -5.53144724e-04 -7.09839398e-04
  1.35077583e-03  3.94241477e-04 -8.34282720e-04  1.59393734e-04
 -3.75507225e-04 -3.17050522e-04 -8.06157943e-04  1.80125004e-04
 -1.29305304e-03 -3.24017508e-03 -7.80120958e-04 -3.17639118e-04
  4.84199583e-04  3.92959249e-04  1.59670017e-04 -8.51957477e-04
  1.72854390e-03 -8.82085063e-04 -1.73402729e-03  2.77915318e-03
  1.75947993e-04 -5.95031714e-04 -1.25167170e-03 -9.67473490e-04
  1.16449723e-03 -2.08945456e-03  9.25633707e-04  1.02591165e-03
 -1.01199502e-03 -2.15465762e-03  8.13435763e-05  9.57733602e-04
 -3.46624875e-04  3.04513902e-04 -6.73748320e-04 -1.55037647e-04
  2.89019383e-03 -7.16779963e-04  4.83522133e-04 -3.35588673e-04
  1.00118283e-03 -8.22352828e-04 -6.76042982e-04  2.88651645e-04
 -9.42273648e-04  2.19254522e-03 -1.98469916e-03  6.19407685e-04
  1.23236608e-03  2.46160291e-03  3.24255379e-04 -3.31316795e-03
  7.33291730e-04  1.72752014e-03  7.19787320e-04 -1.28781435e-03
  8.27976735e-04 -1.83160533e-03 -1.22892833e-03  1.19441145e-04
 -1.56499119e-03 -2.23914301e-03 -8.79963860e-04 -1.50727690e-03
  7.83643860e-04 -7.85665237e-04  8.98522383e-04  4.98468522e-04
 -1.47047546e-03 -7.56451045e-04  2.00873683e-03  6.07469701e-05
  7.32790155e-04  9.05160559e-05  6.16922742e-04  2.35843268e-04
  1.65100931e-03  1.24620181e-03 -2.31798575e-03  1.01982139e-03
  2.03162897e-03  1.01879262e-03 -3.88870481e-04 -1.66020938e-03]",0.001725949,2
